"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"766","Cerace sp.","","Tortricidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"767","Cnephasia alfacarana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"768","Decodes asapheus","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"769","Eugnosta busckana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"770","Bonagota sp.","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"771","Eulia ministrana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"772","Phricanthes asperana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"773","Platynota ideausalis","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"774","Sparganothis reticulatana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"775","Acleris semipurpurana","","Tortricidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"776","Urodus decens","","Urodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"777","Wockia asperipunctella","","Urodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"778","Wockia koreana","","Urodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"779","Atteva aurea","","Attevidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"780","Bedellia somnulentella","","Bedelliidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"781","Acrolepiopsis sapporensis","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"782","Digitivalva hemiglypha","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"783","Diploschizia impigritella","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"784","Glyphipterix sp.","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"785","Doxophyrtis hydrocosma","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"786","Orthotelia sparganella","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"787","Proditrix gahniae","","Glyphipterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"788","Lepidotarphius perornatellus","","Glyphipterygidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"789","Aetole tripunctella","","Heliodinidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"790","Epicroesa metalliferalis","","Heliodinidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"791","Leucoptera coffeella","","Lyonetiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"792","Lyonetia prunifoliella","","Lyonetiidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"793","Prays fraxinella","","Praydidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"794","Scythropia crataegella","","Yponomeutidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"795","Cedestis subfasciella","","Yponomeutidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"796","Thecobathra anas","","Yponomeutidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"797","Yponomeuta multipunctella","","Yponomeutidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"798","Eucalantica costaricae","","Yponomeutidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"799","Ochsenheimeria urella","","Ypsolophidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"800","Ypsolopha nigrimaculata","","Ypsolophidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"801","Aidos osorius","","Aididae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"802","Cyclotorna sp.","","Cyclotornidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"803","Acraga coa","","Dalceridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"804","Acraga philetera","","Dalceridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"805","Dalcerides ingenita","","Dalceridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"806","Minacraga plata","","Dalceridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"807","Epipomponia nawai","","Epipyropidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"808","Fulgoraecia exigua","","Epipyropidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"809","Heteropsyche sp.","","Epipyropidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"810","Himantopteridae gen. sp.","","Himantopteridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"811","Anticrates phaedima","","Lacturidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"812","Lactura subfervens","","Lacturidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"813","Lacturidae gen. sp.","","Lacturidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"814","Strigivenifera venata","","Limacodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"815","Euclea delphinii","","Limacodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"816","Pantoctenia prasina","","Limacodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"817","Phobetron hipparchia","","Limacodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"818","Prolimacodes badia","","Limacodidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"819","Lagoa crispata","","Megalopygidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"820","Megalopyge lapena","","Megalopygidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"821","Mesoscia dyari","","Megalopygidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"822","Norape tener","","Megalopygidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"823","Podalia contigua","","Megalopygidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"824","Eterusia aedea","","Zygaenidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"825","Phauda mimica","","Zygaenidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"826","Pollanisus apicalis","","Zygaenidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"827","Pryeria sinica","","Zygaenidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"828","Zygaena fausta","","Zygaenidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"829","Oiceoptoma noveboracense","","Staphylinidae","Coleoptera","","","Diurnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 141","",NA,"","","",NA,NA,"","",NA,"","","",""
"830","Atteva punctella","","Attevidae","Lepidoptera","","","Diurnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 176","",NA,"","","",NA,NA,"","",NA,"","","",""
"831","Ectobius pallidus","","Ectobiidae","Blattodea","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 42","",NA,"","","",NA,NA,"","",NA,"","","",""
"832","Diapheromera femorata","","Diapheromeridae","Phasmida","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 48","",NA,"","","",NA,NA,"","",NA,"","","",""
"833","Ceuthophilus maculatus","","Rhaphidophoridae","Orthoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 59","",NA,"","","",NA,NA,"","",NA,"","","",""
"834","Acheta domesticus","","Gryllidae","Orthoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 60","",NA,"","","",NA,NA,"","",NA,"","","",""
"835","Automeris io","","Saturniidae","Lepidoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 189","",NA,"","","",NA,NA,"","",NA,"","","",""
"836","Campaea perlata","","Geometridae","Lepidoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 194","",NA,"","","",NA,NA,"","",NA,"","","",""
"837","Urola nivalis","","Crambidae","Lepidoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 198","",NA,"","","",NA,NA,"","",NA,"","","",""
"838","Feralia jocosa","","Noctuidae","Lepidoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 205","",NA,"","","",NA,NA,"","",NA,"","","",""
"839","Schinia florida","","Noctuidae","Lepidoptera","","","Nocturnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 208","",NA,"","","",NA,NA,"","",NA,"","","",""
"840","Hemaris diffinis","","Sphingidae","Lepidoptera","","","Diurnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 181","",NA,"","","",NA,NA,"","",NA,"","","",""
"841","Pyromorpha dimidiata","","Zygaenidae","Lepidoptera","","","Diurnal","","Review article","1","","Insects of North America : a field guide to over 300 insects, page 199","",NA,"","","",NA,NA,"","",NA,"","","",""
"842","Tinagma gaedikei ","","idk","idk","","","Diurnal","","Review article","1","","Insects of North America, page 394","",NA,"","","",NA,NA,"","",NA,"","","",""
"843","Gryllacrididae","","","","","","","","","","Referred to as a nocturnal group of insects","","",NA,"","","",NA,NA,"","",NA,"","","",""
"844","Carabus chamissonis","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"845","Carabus goryi","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"846","Carabus serratus","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"847","Omophron labiatum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"848","Trechus rubens","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"849","Elaphropus saturatus","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"850","Elaphropus vivax","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"851","Amara bifrons","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"852","Amara quenseli","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"853","Chlaenius pensylvanicus","","","","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"854","Chlaenius sericeus","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"855","Acupalpus canadensis","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"856","Acupalpus carus","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"857","Acupalpus pumilus","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"858","Acupalpus testaceus","","Carabidae","Coleoptera","","","Nocturnal","Diurnal","Review article","1","diurnal during spring only, nocturnal otherwise","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"859","Agonum affine","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"860","Agonum anchomenoides","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"861","Agonum canadense","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"862","Agonum crenistriatum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"863","Agonum darlingtoni","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"864","Agonum deceptivum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"865","Agonum lutulentum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"866","Agonum moerens","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"867","Agonum mutatum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"868","Agonum nigriceps","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"869","Agonum octopunctatum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","""mostly nocturnal""","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"870","Agonum palustre","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"871","Agonum piceolum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"872","Agonum picicornoides","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"873","Agonum placidum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","""mostly nocturnal""","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"874","Agonum propinquum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"875","Agonum retractum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"876","Agonum sordens","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","""mostly nocturnal""","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"877","Agonum superioris","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"878","Agonum tenue","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"879","Agonum thoreyi","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"880","Agonum trigeminum","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","""mostly nocturnal""","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"881","Atranus pubescens","","Carabidae","Coleoptera","","","Nocturnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"882","Elaphrus americanus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"883","Elaphrus californicus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"884","Elaphrus olivaceus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"885","Elaphrus ruscarius","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"886","Bembidion americanum","","Carabidae","Coleoptera","","","Diurnal","Nocturnal","Review article","1","flies by night in spring only, mostly diurnal","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"887","Bembidion carinula","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"888","Bembidion cheyennense","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"889","Bembidion inaequale","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"890","Bembidion levettei","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"891","Bembidion mimus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"892","Bembidion punctatostriatum","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"893","Bembidion quadrimaculatum","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"894","Amara aenea","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"895","Amara aeneopolita","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"896","Amara lunicollis","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"897","Amara patruelis","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"898","Bradycellus badipennis","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"899","Stenolophus conjunctus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"900","Agonum cupreum","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"901","Agonum cupripenne","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"902","Agonum fidele","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"903","Agonum muelleri","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"904","Syntomus americanus","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"905","Lebia vittata","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"906","Calleida punctata","","Carabidae","Coleoptera","","","Diurnal","","Review article","1","","https://doi.org/10.1649/072.068.0317","",NA,"","","",NA,NA,"","",NA,"","","",""
"907","Orius tantillus","","Anthocoridae","Hemiptera","","","Diurnal","","Field: trapping","2","","https://doi.org/10.1046/j.1570-7458.1997.00145.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"908","Verrallina unca","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1051%2Fparasite%2F2021056","",NA,"","","",NA,NA,"","",NA,"","","",""
"909","Armigeres subalbatus","","Culicidae","Diptera","","","Crepuscular","","Field: feeding","2","","https://doi.org/10.1007/BF00541780","",NA,"","","",NA,NA,"","",NA,"","","",""
"910","Aedes quadrivittatus","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"911","Aedes podographicus","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"912","Anopheles vestitipennis","","Culicidae","Diptera","","","Crepuscular","Nocturnal","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"913","Culiseta particeps","","Culicidae","Diptera","","","Crepuscular","Nocturnal","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"914","Mansonia dyari","","Culicidae","Diptera","","","Crepuscular","Nocturnal","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"915","Aedes amateuri","","Culicidae","Diptera","","","Diurnal","Crepuscular","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"916","Aedes amabilis","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"917","Aedes lewnielseni","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
"918","Wyeomyia mitchellii","","Culicidae","Diptera","","","Diurnal","","Review article","1","","https://doi.org/10.1016/B978-0-12-814545-6.00009-2","",NA,"","","",NA,NA,"","",NA,"","","",""
